Wert;Label;Gemeinde;Kanton;Jahr
1;RANG;Meggen;LU;2018
LU;KANTON;Meggen;LU;2018
Meggen;GEMEINDE;Meggen;LU;2018
19;WOHNEN;Meggen;LU;2018
21;ARBEITSMARKT;Meggen;LU;2018
95;BEVÖLKERUNG;Meggen;LU;2018
29;STEUERBELASTUNG;Meggen;LU;2018
473;ERREICHBARKEIT;Meggen;LU;2018
59;VERSORGUNG;Meggen;LU;2018
273;SICHERHEIT;Meggen;LU;2018
2;RANG;Zollikon;ZH;2018
ZH;KANTON;Zollikon;ZH;2018
Zollikon;GEMEINDE;Zollikon;ZH;2018
190;WOHNEN;Zollikon;ZH;2018
140;ARBEITSMARKT;Zollikon;ZH;2018
64;BEVÖLKERUNG;Zollikon;ZH;2018
31;STEUERBELASTUNG;Zollikon;ZH;2018
43;ERREICHBARKEIT;Zollikon;ZH;2018
346;VERSORGUNG;Zollikon;ZH;2018
135;SICHERHEIT;Zollikon;ZH;2018
3;RANG;Rüschlikon;ZH;2018
ZH;KANTON;Rüschlikon;ZH;2018
Rüschlikon;GEMEINDE;Rüschlikon;ZH;2018
198;WOHNEN;Rüschlikon;ZH;2018
97;ARBEITSMARKT;Rüschlikon;ZH;2018
35;BEVÖLKERUNG;Rüschlikon;ZH;2018
19;STEUERBELASTUNG;Rüschlikon;ZH;2018
32;ERREICHBARKEIT;Rüschlikon;ZH;2018
126;VERSORGUNG;Rüschlikon;ZH;2018
431;SICHERHEIT;Rüschlikon;ZH;2018
4;RANG;Zug;ZG;2018
ZG;KANTON;Zug;ZG;2018
Zug;GEMEINDE;Zug;ZG;2018
106;WOHNEN;Zug;ZG;2018
5;ARBEITSMARKT;Zug;ZG;2018
116;BEVÖLKERUNG;Zug;ZG;2018
2;STEUERBELASTUNG;Zug;ZG;2018
74;ERREICHBARKEIT;Zug;ZG;2018
135;VERSORGUNG;Zug;ZG;2018
529;SICHERHEIT;Zug;ZG;2018
5;RANG;Baar;ZG;2018
ZG;KANTON;Baar;ZG;2018
Baar;GEMEINDE;Baar;ZG;2018
41;WOHNEN;Baar;ZG;2018
1;ARBEITSMARKT;Baar;ZG;2018
97;BEVÖLKERUNG;Baar;ZG;2018
1;STEUERBELASTUNG;Baar;ZG;2018
171;ERREICHBARKEIT;Baar;ZG;2018
534;VERSORGUNG;Baar;ZG;2018
529;SICHERHEIT;Baar;ZG;2018
6;RANG;Binningen;BL;2018
BL;KANTON;Binningen;BL;2018
Binningen;GEMEINDE;Binningen;BL;2018
96;WOHNEN;Binningen;BL;2018
55;ARBEITSMARKT;Binningen;BL;2018
297;BEVÖLKERUNG;Binningen;BL;2018
374;STEUERBELASTUNG;Binningen;BL;2018
29;ERREICHBARKEIT;Binningen;BL;2018
311;VERSORGUNG;Binningen;BL;2018
199;SICHERHEIT;Binningen;BL;2018
7;RANG;Pfäffikon;ZH;2018
ZH;KANTON;Pfäffikon;ZH;2018
Pfäffikon;GEMEINDE;Pfäffikon;ZH;2018
375;WOHNEN;Pfäffikon;ZH;2018
88;ARBEITSMARKT;Pfäffikon;ZH;2018
187;BEVÖLKERUNG;Pfäffikon;ZH;2018
105;STEUERBELASTUNG;Pfäffikon;ZH;2018
36;ERREICHBARKEIT;Pfäffikon;ZH;2018
28;VERSORGUNG;Pfäffikon;ZH;2018
475;SICHERHEIT;Pfäffikon;ZH;2018
8;RANG;Thalwil;ZH;2018
ZH;KANTON;Thalwil;ZH;2018
Thalwil;GEMEINDE;Thalwil;ZH;2018
