UferpunktID;X;Y;SeeuferSteigung;SeeSeite;SeeName;Gemeinde1;Gemeinde2
1;652133;224960;-1;-;Sempachersee;Schenkon;Sursee
2;653543;223936;-1;-;Sempachersee;Eich;Schenkon
3;655794;221950;-1;-;Sempachersee;Eich;Sempach
4;656748;219196;2;+;Sempachersee;Neuenkirch;Sempach
5;655433;219283;-1;+;Sempachersee;Neuenkirch;Nottwil
6;652425;221949;-1;+;Sempachersee;Nottwil;Oberkirch
7;651868;224144;10;-;Sempachersee;Oberkirch;Sursee
8;668035;209758;-1;+;Vierwaldstättersee;Horw;Luzern
9;669523;210114;-3;-;Vierwaldstättersee;Luzern;Meggen
10;674796;211417;2;+;Vierwaldstättersee;Greppen;Weggis
11;678273;208372;1000;+;Vierwaldstättersee;Vitznau;Weggis
12;678712;205455;3;+;Vierwaldstättersee;Vitznau;Vitznau
13;675328;213174;-3;-;Vierwaldstättersee;Greppen;Greppen
14;673071;212515;2;-;Vierwaldstättersee;Meggen;Meggen
15;666471;205628;-10;+;Vierwaldstättersee;Horw;Horw
