row ID,Durchscnittsnote 3 Schuljahr,Schule 1=KSALP 2=KSBER 3=KSREU 4=KSSCH 5=KSSEE 6=KSSUR 7=KSWIL,BRank_Steuerbelastung,BRank_Erreichbarkeit,Geschlecht 1=1 2=2,Heimatland 1=CH 2=D 3=Andere,Durchscnittsnote Matura
L-409751-KSALP,4.15,1,3,3,2,1,4.91
L-410869-KSALP,5.08,1,3,3,1,1,5.69
L-408485-KSALP,4.73,1,3,3,2,1,5.25
L-410169-KSALP,4.73,1,3,3,1,1,5.13
L-410875-KSALP,4.42,1,3,3,1,1,4.81
L-410164-KSALP,4.38,1,3,3,1,1,4.75
L-410900-KSALP,4.65,1,3,3,2,1,5.09
L-411623-KSALP,4.54,1,3,3,1,1,4.88
L-410156-KSALP,5.04,1,3,3,2,1,5.47
L-411636-KSALP,4.27,1,3,3,2,1,4.68
L-409163-KSALP,4.85,1,3,3,2,1,5.25
L-411628-KSALP,4.38,1,3,3,2,1,4.78
L-409280-KSALP,4.58,1,3,3,2,1,4.94
L-411619-KSALP,4.12,1,3,3,2,1,4.47
L-409611-KSALP,4.32,1,3,3,1,1,4.56
L-410162-KSALP,4.69,1,3,3,2,1,5.03
L-410893-KSALP,5.04,1,3,3,2,1,5.38
L-411640-KSALP,4.5,1,3,3,1,1,4.72
L-410892-KSALP,5.0,1,3,3,2,1,5.31
L-410182-KSALP,4.62,1,3,3,1,1,4.81
L-410160-KSALP,4.92,1,3,3,2,1,5.22
L-411632-KSALP,4.96,1,3,3,2,1,5.25
L-410553-KSALP,4.15,1,3,3,2,1,4.44
L-410881-KSALP,4.42,1,3,3,2,1,4.69
L-408491-KSALP,4.14,1,3,3,2,1,4.41
L-455230-KSREU,4.67,3,3,3,1,1,4.72
L-410877-KSALP,4.75,1,3,3,2,1,5.0
L-410886-KSALP,4.29,1,3,3,1,1,4.44
L-408497-KSALP,4.54,1,3,3,2,1,4.78
L-410180-KSALP,5.04,1,3,3,1,1,5.16
L-410895-KSALP,4.65,1,3,3,1,1,4.75
L-409950-KSALP,4.46,1,3,3,2,1,4.63
L-409285-KSALP,5.04,1,3,3,1,1,5.09
L-408489-KSALP,4.39,1,3,3,1,1,4.44
L-410149-KSALP,5.27,1,3,3,1,1,5.31
L-409155-KSALP,5.35,1,3,3,2,1,5.47
L-410888-KSALP,4.85,1,3,3,2,1,4.94
L-410158-KSALP,5.19,1,3,3,2,1,5.28
L-409276-KSALP,4.54,1,3,3,2,1,4.59
L-411630-KSALP,4.81,1,3,3,1,1,4.75
L-411634-KSALP,5.12,1,3,3,2,1,5.16
L-408495-KSALP,4.92,1,3,3,2,1,4.94
L-408493-KSALP,4.64,1,3,3,2,1,4.66
L-410171-KSALP,4.5,1,3,3,1,1,4.41
L-410873-KSALP,4.35,1,3,3,1,1,4.22
L-412698-KSALP,4.67,1,3,3,1,1,4.53
L-410884-KSALP,5.0,1,3,3,1,1,4.84
L-408498-KSALP,4.81,1,3,3,2,1,4.75
L-410890-KSALP,4.31,1,3,3,2,1,4.22
L-410908-KSALP,4.31,1,3,3,2,1,4.22
L-410727-KSALP,4.42,1,3,3,1,1,4.22
L-410177-KSALP,5.08,1,3,3,2,1,4.97
L-410574-KSALP,4.62,1,3,3,1,1,4.41
L-409283-KSALP,4.77,1,3,3,2,1,4.66
L-408487-KSALP,4.73,1,3,3,2,1,4.59
L-411624-KSALP,4.73,1,3,3,1,3,4.47
L-410871-KSALP,5.57,1,3,3,1,1,5.3
L-410166-KSALP,5.39,1,3,3,1,1,5.09
L-409278-KSALP,4.75,1,3,3,1,1,4.44
L-410906-KSALP,4.38,1,3,3,2,1,4.17
L-411629-KSALP,4.81,1,3,3,2,1,4.59
L-408563-KSALP,5.12,1,3,3,1,1,4.78
L-410904-KSALP,5.0,1,3,3,2,1,4.75
L-410896-KSALP,4.68,1,3,3,1,1,4.31
L-410905-KSALP,4.75,1,3,3,2,1,4.47
L-411626-KSALP,5.36,1,3,3,2,1,4.94
L-115046-KSSEE,4.31,5,3,3,2,1,4.72
L-115261-KSSEE,4.38,5,3,3,2,1,4.66
L-114551-KSSEE,4.63,5,3,3,2,1,4.81
L-115788-KSSEE,4.73,5,3,3,1,1,4.75
L-115295-KSSEE,5.12,5,3,3,1,1,5.09
L-114497-KSSEE,4.38,5,3,3,1,1,4.33
L-114926-KSSEE,4.69,5,3,3,2,1,4.59
L-115553-KSSEE,5.12,5,3,3,1,1,4.91
L-116108-KSSEE,4.35,5,3,3,2,1,4.19
L-115565-KSSEE,4.88,5,3,3,2,1,4.69
L-115792-KSSEE,5.35,5,3,3,1,1,5.0
L-115292-KSSEE,4.68,5,3,3,2,1,4.38
L-552250-KSBER,4.55,2,3,3,1,1,4.75
L-502400-KSSCH,4.36,4,3,3,2,1,4.59
L-303863-KSWIL,4.21,7,3,3,2,1,3.94
L-502399-KSSCH,4.45,4,3,3,2,1,4.31
L-303776-KSWIL,5.13,7,3,3,1,1,5.25
L-303093-KSWIL,4.58,7,3,3,2,1,4.53
L-303090-KSWIL,4.54,7,3,3,2,1,4.44
L-302826-KSWIL,4.54,7,3,3,1,1,4.31
L-302516-KSWIL,4.92,7,3,3,1,1,4.66
L-302515-KSWIL,4.77,7,3,3,2,1,4.59
L-302828-KSWIL,4.46,7,3,3,2,1,4.2
L-303859-KSWIL,4.75,7,3,3,2,1,5.16
