Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Auslaenderanteil;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Übrige Parteien;;gemäss Strafgesetzbuch (StGB) ;gemäss Betäubungsmittel-gesetz (BetmG);gemäss Ausländergesetz (AuG)
1001;Doppleschwand;743;3,5;107;4,8;29,2;56,9;13,9;10,7;0,0;12,1;5,4;261;2,8;7,0;5,7;9;55,5;-2;36,2;2,6;227;97;51;79;74;33;12;29;0,00;14,7;0,4;13,7;42,0;1,7;40,5;0,1;0,4;0,7;*;0,9;*;0,0;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1001 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(40,461432507)}]-(b);";8,0;0,0;0,0
1002;Entlebuch;3.325;0,8;58;6,7;22,9;59,5;17,6;5,4;0,9;9,1;7,3;1.320;2,5;57,0;3,7;51;49,5;-51;42,8;4,0;1.625;398;421;806;368;162;57;149;0,96;3,6;1,2;24,8;31,3;3,1;35,5;0,5;1,9;0,9;*;1,8;0,0;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1002 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(35,519230769)}]-(b);";8,8;0,3;0,6
1004;Flühli;1.880;-0,7;17;17,3;21,4;62,0;16,6;4,3;0,0;10,7;11,2;654;2,5;108,1;2,5;76;44,5;-89;38,3;14,7;1.016;236;140;640;234;98;37;99;2,04;16,0;1,0;21,0;36,3;2,3;37,7;0,0;1,0;0,5;*;1,3;*;0,0;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1004 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(37,653013183)}]-(b);";11,2;1,1;0,0
1005;Hasle (LU);1.778;2,4;44;4,8;26,0;56,4;17,7;2,3;1,7;10,8;5,7;638;2,7;40,3;3,2;28;49,1;-57;39,5;8,1;791;257;274;260;165;85;22;58;0,39;5,8;0,9;15,9;35,1;3,9;41,9;0,1;0,9;0,9;*;1,0;0,1;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1005 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(41,856721224)}]-(b);";14,4;0,0;0,0
1007;Romoos;663;-4,9;18;1,5;23,7;58,5;17,8;3,0;3,0;9,0;7,5;244;2,7;37,3;2,1;21;35,8;26;60,9;1,2;318;218;40;60;112;82;14;16;0,30;3,0;1,2;11,4;48,4;2,5;34,4;0,2;0,9;0,7;*;1,0;0,5;0,1;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1007 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,377719756)}]-(b);";0,0;0,0;0,0
1008;Schüpfheim;4.111;4,8;107;8,1;24,4;58,4;17,2;4,1;0,7;9,8;8,3;1.517;2,7;38,5;5,3;61;59,3;-45;33,2;2,3;2.476;412;593;1.471;389;157;64;168;2,28;7,8;1,6;16,2;33,5;8,2;34,4;0,3;2,8;0,9;*;3,2;0,0;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1008 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,396214771)}]-(b);";32,3;3,2;0,7
1009;Werthenstein;2.035;5,1;129;13,1;24,3;60,5;15,2;4,0;3,5;11,4;8,4;768;2,6;15,7;8,3;35;58,6;-26;30,7;2,4;1.659;187;516;956;198;76;38;84;0,71;11,5;2,7;12,0;30,4;4,5;43,7;1,1;2,2;1,5;*;3,3;0,1;1,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1009 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(43,6594698)}]-(b);";30,9;1,5;2,0
1010;Escholzmatt-Marbach;4.323;-0,9;41;5,8;22,5;58,8;18,8;4,9;1,4;8,3;9,9;1.635;2,6;106,4;2,9;62;47,3;-84;46,5;3,3;2.193;784;676;733;502;297;61;144;1,32;10,6;1,7;13,9;40,3;3,5;36,8;0,3;1,5;1,4;*;1,9;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1010 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(36,779215084)}]-(b);";32,6;2,1;0,9
1021;Aesch (LU);1.051;8,4;228;10,4;20,2;63,0;16,8;4,8;2,9;9,7;4,8;431;2,4;4,7;11,4;15;66,1;-15;18,9;3,6;503;84;230;189;107;24;26;57;1,90;21,7;0,6;18,0;27,2;3,5;39,3;1,7;3,7;2,6;*;3,1;*;0,9;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1021 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(39,310181904)}]-(b);";44,4;0,0;0,0
1022;Altwis;410;7,0;140;9,3;28,5;60,2;11,2;2,5;4,9;9,8;2,5;138;2,9;2,9;7,2;2;63,1;-1;29,7;0,0;169;80;20;69;37;16;9;12;0,00;2,5;1,5;12,0;29,7;9,8;32,4;0,8;5,0;1,7;*;8,0;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1022 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,388924662)}]-(b);";56,7;0,0;0,0
