"row ID","Gemeinde","Schule","Geschlecht","Muttersprache","Heimatland","Alter","Französisch","Italienisch","Mathematik","1","2","3","4","5","6","7","Gesamtergebnis","M"
"L-113829-KSSEE","Eschenbach (LU)","KSSEE","M","D","CH",25.0,4.0,,3.5,,,4.666666666666667,4.384615384615385,4.5,4.375,,4.462686567164179,4.40625
"L-114078-KSSEE","Eschenbach (LU)","KSSEE","F","D","CH",24.0,4.5,,3.5,,,4.333333333333333,,,,,4.333333333333333,
"L-114084-KSSEE","Ermensee","KSSEE","M","D","CH",24.0,4.0,,5.0,,,4.541666666666667,,,,,4.541666666666667,
"L-114407-KSSEE","Hitzkirch","KSSEE","M","D","CH",22.0,4.0,,4.5,,4.576923076923077,4.5,4.230769230769231,4.357142857142857,4.318181818181818,,4.36875,4.25
"L-114409-KSSEE","Ermensee","KSSEE","F","D","CH",23.0,3.5,,4.0,,,4.083333333333333,4.230769230769231,4.357142857142857,4.375,,4.2835820895522385,4.34375
"L-114412-KSSEE","Hochdorf","KSSEE","M","D","CH",23.0,4.5,,4.5,,,4.625,4.730769230769231,4.678571428571429,4.863636363636363,,4.769230769230769,4.933333333333334
"L-114414-KSSEE","Hochdorf","KSSEE","M","D","CH",22.0,4.0,,5.0,,,4.625,4.884615384615385,4.964285714285714,5.083333333333333,,4.925373134328358,5.03125
"L-114416-KSSEE","Hitzkirch","KSSEE","F","D","CH",23.0,4.5,,5.0,,,4.916666666666667,5.038461538461538,4.75,4.708333333333333,,4.798507462686567,4.625
"L-114419-KSSEE","Hitzkirch","KSSEE","M","D","CH",22.0,4.5,,4.0,,,4.541666666666667,4.403846153846154,4.5,4.409090909090909,,4.4423076923076925,4.4
"L-114422-KSSEE","Ermensee","KSSEE","F","D","CH",22.0,5.0,,5.0,,,4.708333333333333,4.730769230769231,4.75,4.625,,4.6716417910447765,4.5625
"L-114424-KSSEE","Hochdorf","KSSEE","M","D","CH",23.0,3.5,,4.0,,,4.458333333333333,4.5,4.5,4.326086956521739,,4.398936170212766,4.34375
"L-114426-KSSEE","Hitzkirch","KSSEE","F","D","CH",23.0,4.5,,5.5,,,5.083333333333333,4.884615384615385,4.75,4.666666666666667,,4.835820895522388,4.8125
"L-114428-KSSEE","Hochdorf","KSSEE","F","D","CH",23.0,4.5,,5.0,,,4.75,4.6923076923076925,4.642857142857143,4.375,,4.582089552238806,4.46875
"L-114429-KSSEE","Ermensee","KSSEE","F","D","CH",22.0,5.0,,5.0,,,5.125,5.0,5.035714285714286,5.0,,5.052238805970149,5.09375
"L-114434-KSSEE","Hochdorf","KSSEE","F","D","CH",23.0,4.5,,4.5,,,4.375,4.269230769230769,4.285714285714286,4.208333333333333,,4.2611940298507465,4.1875
