"GEMEINDE","BFS_NR","SteuerFuss [Binned]"
"Meggen",1063,"1"
"Schenkon",1099,"1"
"Vitznau",1068,"1"
"Eich",1084,"1"
"Weggis",1069,"1"
"Eschenbach (LU)",1026,"1"
"Horw",1058,"1"
"Ballwil",1023,"1"
"Oberkirch",1095,"1"
"Gisikon",1055,"1"
"Hildisrieden",1088,"1"
"Schlierbach",1100,"1"
"Triengen",1104,"1"
"Altishofen",1123,"1"
"Root",1065,"1"
"Luzern",1061,"1"
"Sursee",1103,"1"
"Ebikon",1054,"2"
"Honau",1057,"2"
"Inwil",1033,"2"
"Nebikon",1137,"2"
"Neuenkirch",1093,"2"
"Rain",1037,"2"
"Rothenburg",1040,"2"
"Beromünster",1081,"2"
"Beromünster",1081,"2"
"Dagmersellen",1125,"2"
"Dierikon",1053,"2"
"Greppen",1056,"2"
"Grosswangen",1086,"2"
"Nottwil",1094,"2"
"Pfaffnau",1139,"2"
"Udligenswil",1067,"2"
"Aesch (LU)",1021,"3"
"Buchrain",1052,"3"
"Egolzwil",1127,"3"
"Flühli",1004,"3"
"Kriens",1059,"3"
"Ruswil",1098,"3"
"Sempach",1102,"3"
"Zell (LU)",1150,"3"
"Escholzmatt-Marbach",1010,"3"
"Escholzmatt-Marbach",1010,"3"
"Hitzkirch",1030,"3"
"Malters",1062,"3"
"Adligenswil",1051,"3"
"Buttisholz",1083,"3"
"Hochdorf",1031,"3"
"Mauensee",1091,"3"
"Alberswil",1121,"4"
"Ettiswil",1128,"4"
"Knutwil",1089,"4"
"Römerswil",1039,"4"
"Schüpfheim",1008,"4"
"Wauwil",1146,"4"
"Entlebuch",1002,"4"
"Ermensee",1025,"4"
"Hergiswil bei Willisau",1132,"4"
"Roggliswil",1142,"4"
"Romoos",1007,"4"
"Schongau",1041,"4"
"Schwarzenberg",1066,"4"
"Willisau",1151,"4"
"Emmen",1024,"4"
"Hohenrain",1032,"4"
"Meierskappel",1064,"4"
"Rickenbach (LU)",1097,"4"
"Schötz",1143,"4"
"Altbüron",1122,"5"
"Büron",1082,"5"
"Geuensee",1085,"5"
"Grossdietwil",1131,"5"
"Menznau",1136,"5"
"Reiden",1140,"5"
"Altwis",1022,"5"
"Doppleschwand",1001,"5"
"Ebersecken",1126,"5"
"Fischbach",1129,"5"
"Gettnau",1130,"5"
"Hasle (LU)",1005,"5"
"Luthern",1135,"5"
"Ufhusen",1145,"5"
"Werthenstein",1009,"5"
"Wolhusen",1107,"5"
"Wikon",1147,"5"
