GemeindeName,KantonKurzname,GemeindeNameSchule,GemeindeVerzeichnisFlag,GemeindeNummer,RegionCode,RegionName
Beromünster,LU,Neudorf XXX,0,1081,6,Michelsamt/Surental
Escholzmatt-Marbach,LU,Marbach (LU) XXX,0,1010,9,Entlebuch
Escholzmatt-Marbach,LU,Escholzmatt XXX,0,1010,9,Entlebuch
Rickenbach (LU),LU,Pfeffikon XXX,0,1097,6,Michelsamt/Surental
Schötz,LU,Ohmstal XXX,0,1143,8,Willisau
Luzern,LU,Luzern,1,1061,1,Stadt Luzern
Meggen,LU,Meggen,1,1063,2,Agglomerationskern
Kriens,LU,Kriens,1,1059,2,Agglomerationskern
Horw,LU,Horw,1,1058,2,Agglomerationskern
Ebikon,LU,Ebikon,1,1054,2,Agglomerationskern
Dierikon,LU,Dierikon,1,1053,2,Agglomerationskern
Buchrain,LU,Buchrain,1,1052,2,Agglomerationskern
Adligenswil,LU,Adligenswil,1,1051,2,Agglomerationskern
Rothenburg,LU,Rothenburg,1,1040,2,Agglomerationskern
Emmen,LU,Emmen,1,1024,2,Agglomerationskern
Neuenkirch,LU,Neuenkirch,1,1093,3,Agglomerationsgürtel (Luzerner Teil)
Hildisrieden,LU,Hildisrieden,1,1088,3,Agglomerationsgürtel (Luzerner Teil)
Udligenswil,LU,Udligenswil,1,1067,3,Agglomerationsgürtel (Luzerner Teil)
Schwarzenberg,LU,Schwarzenberg,1,1066,3,Agglomerationsgürtel (Luzerner Teil)
Malters,LU,Malters,1,1062,3,Agglomerationsgürtel (Luzerner Teil)
Rain,LU,Rain,1,1037,3,Agglomerationsgürtel (Luzerner Teil)
Inwil,LU,Inwil,1,1033,3,Agglomerationsgürtel (Luzerner Teil)
Eschenbach (LU),LU,Eschenbach (LU),1,1026,3,Agglomerationsgürtel (Luzerner Teil)
Weggis,LU,Weggis,1,1069,4,Rooterberg/Rigi
Vitznau,LU,Vitznau,1,1068,4,Rooterberg/Rigi
Root,LU,Root,1,1065,4,Rooterberg/Rigi
Meierskappel,LU,Meierskappel,1,1064,4,Rooterberg/Rigi
Honau,LU,Honau,1,1057,4,Rooterberg/Rigi
Greppen,LU,Greppen,1,1056,4,Rooterberg/Rigi
Gisikon,LU,Gisikon,1,1055,4,Rooterberg/Rigi
Sursee,LU,Sursee,1,1103,5,Sursee/Sempachersee
Sempach,LU,Sempach,1,1102,5,Sursee/Sempachersee
Schenkon,LU,Schenkon,1,1099,5,Sursee/Sempachersee
Oberkirch,LU,Oberkirch,1,1095,5,Sursee/Sempachersee
Nottwil,LU,Nottwil,1,1094,5,Sursee/Sempachersee
Mauensee,LU,Mauensee,1,1091,5,Sursee/Sempachersee
Knutwil,LU,Knutwil,1,1089,5,Sursee/Sempachersee
Eich,LU,Eich,1,1084,5,Sursee/Sempachersee
Triengen,LU,Triengen,1,1104,6,Michelsamt/Surental
Schlierbach,LU,Schlierbach,1,1100,6,Michelsamt/Surental
Rickenbach (LU),LU,Rickenbach (LU),1,1097,6,Michelsamt/Surental
Geuensee,LU,Geuensee,1,1085,6,Michelsamt/Surental
