GemeindeName,KantonKurzname,GemeindeNameSchule,GemeindeVerzeichnisFlag,GemeindeNummer,AnzahlEinwohner,RegionCode,RegionName,BRank_Gesamt,BRank_Arbeitsmarkt,BRank_Bevoelkerung,BRank_Erreichbarkeit,BRank_Sicherheit,BRank_Steuerbelastung,BRank_Versorgung,BRank_Wohnen,SteuerFuss
Beromünster,LU,Neudorf XXX,0,1081,6234,6,Michelsamt/Surental,600,611,233,854,73,434,576,255,3.55
Escholzmatt-Marbach,LU,Marbach (LU) XXX,0,1010,4323,9,Entlebuch,869,854,832,857,20,575,201,830,3.65
Escholzmatt-Marbach,LU,Escholzmatt XXX,0,1010,4323,9,Entlebuch,869,854,832,857,20,575,201,830,3.65
Rickenbach (LU),LU,Pfeffikon XXX,0,1097,3110,6,Michelsamt/Surental,771,721,287,861,73,543,769,627,3.85
Schötz,LU,Ohmstal XXX,0,1143,4095,8,Willisau,772,591,333,814,10,579,837,657,3.85
Luzern,LU,Luzern,1,1061,81057,1,Stadt Luzern,80,172,705,170,874,339,102,29,3.45
Meggen,LU,Meggen,1,1063,6775,2,Agglomerationskern,1,21,95,473,273,29,59,19,2.535
Kriens,LU,Kriens,1,1059,27229,2,Agglomerationskern,429,419,808,459,273,434,571,356,3.6
Horw,LU,Horw,1,1058,13813,2,Agglomerationskern,35,29,450,525,273,196,407,32,3.15
Ebikon,LU,Ebikon,1,1054,12781,2,Agglomerationskern,372,398,569,337,273,367,799,446,3.5
Dierikon,LU,Dierikon,1,1053,1440,2,Agglomerationskern,316,310,403,513,273,417,701,343,3.55
Buchrain,LU,Buchrain,1,1052,6161,2,Agglomerationskern,282,212,580,634,273,434,883,774,3.6
Adligenswil,LU,Adligenswil,1,1051,5349,2,Agglomerationskern,236,330,148,551,273,462,669,136,3.7
Rothenburg,LU,Rothenburg,1,1040,7246,2,Agglomerationskern,250,163,277,513,177,367,511,243,3.5
Emmen,LU,Emmen,1,1024,29292,2,Agglomerationskern,351,316,853,564,177,459,514,612,3.85
Neuenkirch,LU,Neuenkirch,1,1093,6484,3,Agglomerationsgürtel (Luzerner Teil),198,29,199,695,73,472,344,308,3.5
Hildisrieden,LU,Hildisrieden,1,1088,2055,3,Agglomerationsgürtel (Luzerner Teil),172,141,49,791,73,367,701,108,3.35
Udligenswil,LU,Udligenswil,1,1067,2262,3,Agglomerationsgürtel (Luzerner Teil),220,104,30,580,273,424,680,169,3.55
Schwarzenberg,LU,Schwarzenberg,1,1066,1686,3,Agglomerationsgürtel (Luzerner Teil),524,474,731,646,189,494,591,542,3.8
Malters,LU,Malters,1,1062,6923,3,Agglomerationsgürtel (Luzerner Teil),401,278,684,629,273,472,334,725,3.65
Rain,LU,Rain,1,1037,2533,3,Agglomerationsgürtel (Luzerner Teil),194,20,37,776,177,417,782,711,3.5
