"GemeindeNummer","GemeindeName","AnzahlEinwohner","AnzahlMatura","NoteDurchschnitt","MaturaQuote"
1051,"Adligenswil",5349,191,4.73,3.57
1021,"Aesch (LU)",1051,18,4.6,1.71
1121,"Alberswil",643,10,4.46,1.56
1122,"Altbüron",974,15,4.7,1.54
1123,"Altishofen",1579,32,4.82,2.03
1022,"Altwis",410,4,4.45,0.98
1023,"Ballwil",2649,40,4.71,1.51
1081,"Beromünster",6234,132,4.69,2.12
1052,"Buchrain",6161,119,4.65,1.93
1083,"Buttisholz",3272,62,4.81,1.89
1082,"Büron",2287,47,4.75,2.06
1125,"Dagmersellen",5118,68,4.78,1.33
1053,"Dierikon",1440,22,4.7,1.53
1001,"Doppleschwand",743,7,4.51,0.94
1126,"Ebersecken",401,8,4.75,2.0
1054,"Ebikon",12781,184,4.66,1.44
1127,"Egolzwil",1368,27,4.76,1.97
1084,"Eich",1707,55,4.71,3.22
1024,"Emmen",29292,386,4.68,1.32
1002,"Entlebuch",3325,38,4.83,1.14
1025,"Ermensee",865,18,4.54,2.08
1026,"Eschenbach (LU)",3594,86,4.66,2.39
1010,"Escholzmatt-Marbach",4323,47,4.72,1.09
1128,"Ettiswil",2562,40,4.64,1.56
1129,"Fischbach",733,12,4.64,1.64
1004,"Flühli",1880,23,4.63,1.22
1130,"Gettnau",1088,12,4.92,1.1
1085,"Geuensee",2750,47,4.75,1.71
1055,"Gisikon",1134,22,4.77,1.94
1056,"Greppen",1034,11,4.66,1.06
1131,"Grossdietwil",838,20,4.71,2.39
1086,"Grosswangen",3104,51,4.71,1.64
1005,"Hasle (LU)",1778,28,4.78,1.57
1132,"Hergiswil bei Willisau",1869,14,4.74,0.75
1088,"Hildisrieden",2055,41,4.72,2.0
1030,"Hitzkirch",5069,116,4.7,2.29
1031,"Hochdorf",9401,160,4.67,1.7
1032,"Hohenrain",2481,61,4.66,2.46
1057,"Honau",381,11,4.64,2.89
1058,"Horw",13813,334,4.66,2.42
1033,"Inwil",2429,33,4.66,1.36
1089,"Knutwil",2126,55,4.68,2.59
1059,"Kriens",27229,541,4.7,1.99
1135,"Luthern",1307,11,4.72,0.84
1061,"Luzern",81057,1178,4.65,1.45
1062,"Malters",6923,125,4.8,1.81
1091,"Mauensee",1271,51,4.73,4.01
1063,"Meggen",6775,208,4.64,3.07
1064,"Meierskappel",1351,8,4.23,0.59
1136,"Menznau",2918,29,4.68,0.99
1137,"Nebikon",2517,23,4.76,0.91
1093,"Neuenkirch",6484,132,4.73,2.04
1094,"Nottwil",3476,59,4.81,1.7
1095,"Oberkirch",4062,109,4.74,2.68
1139,"Pfaffnau",2304,15,4.33,0.65
1037,"Rain",2533,48,4.69,1.89
1140,"Reiden",6892,71,4.64,1.03
1097,"Rickenbach (LU)",3110,47,4.64,1.51
1142,"Roggliswil",647,2,4.59,0.31
1007,"Romoos",663,5,4.77,0.75
1065,"Root",4736,50,4.69,1.06
1040,"Rothenburg",7246,164,4.71,2.26
1098,"Ruswil",6812,107,4.79,1.57
1039,"Römerswil",1669,21,4.74,1.26
1099,"Schenkon",2731,84,4.73,3.08
1100,"Schlierbach",792,15,4.81,1.89
1041,"Schongau",1004,21,4.66,2.09
1066,"Schwarzenberg",1686,34,4.53,2.02
1143,"Schötz",4095,64,4.58,1.56
1008,"Schüpfheim",4111,103,4.76,2.51
1102,"Sempach",4171,138,4.72,3.31
1103,"Sursee",9390,193,4.73,2.06
1104,"Triengen",4462,68,4.7,1.52
1067,"Udligenswil",2262,42,4.67,1.86
1145,"Ufhusen",876,12,4.77,1.37
1068,"Vitznau",1271,7,4.08,0.55
1146,"Wauwil",1904,25,4.74,1.31
1069,"Weggis",4355,40,4.85,0.92
1009,"Werthenstein",2035,27,4.8,1.33
1147,"Wikon",1470,6,4.74,0.41
1151,"Willisau",7623,177,4.69,2.32
1107,"Wolhusen",4294,79,4.66,1.84
1150,"Zell (LU)",1999,41,4.77,2.05
