GEMEINDE,BFS_NR,Klasse
Adligenswil,1051,462
Aesch (LU),1021,-1000
Alberswil,1121,-1000
Altbüron,1122,-1000
Altishofen,1123,-1000
Altwis,1022,-1000
Ballwil,1023,211
Beromünster,1081,434
Beromünster,1081,434
Buchrain,1052,434
Buttisholz,1083,543
Büron,1082,622
Dagmersellen,1125,397
Dierikon,1053,-1000
Doppleschwand,1001,-1000
Ebersecken,1126,-1000
Ebikon,1054,367
Egolzwil,1127,-1000
Eich,1084,-1000
Emmen,1024,459
Entlebuch,1002,575
Ermensee,1025,-1000
Eschenbach (LU),1026,189
Escholzmatt-Marbach,1010,575
Escholzmatt-Marbach,1010,575
Ettiswil,1128,499
Fischbach,1129,-1000
Flühli,1004,-1000
Gettnau,1130,-1000
Geuensee,1085,571
Gisikon,1055,-1000
Greppen,1056,-1000
Grossdietwil,1131,-1000
Grosswangen,1086,494
Hasle (LU),1005,-1000
Hergiswil bei Willisau,1132,-1000
Hildisrieden,1088,367
Hitzkirch,1030,521
Hochdorf,1031,468
Hohenrain,1032,543
Honau,1057,-1000
Horw,1058,196
Inwil,1033,359
Knutwil,1089,524
Kriens,1059,434
Luthern,1135,-1000
Luzern,1061,339
Malters,1062,472
Mauensee,1091,-1000
Meggen,1063,29
Meierskappel,1064,-1000
Menznau,1136,698
Nebikon,1137,410
Neuenkirch,1093,472
Nottwil,1094,459
Oberkirch,1095,223
Pfaffnau,1139,484
Rain,1037,417
Reiden,1140,575
Rickenbach (LU),1097,543
Roggliswil,1142,-1000
Romoos,1007,-1000
Root,1065,397
Rothenburg,1040,367
Ruswil,1098,537
Römerswil,1039,-1000
Schenkon,1099,86
Schlierbach,1100,-1000
Schongau,1041,-1000
Schwarzenberg,1066,-1000
Schötz,1143,579
Schüpfheim,1008,524
Sempach,1102,468
Sursee,1103,339
Triengen,1104,326
Udligenswil,1067,424
Ufhusen,1145,-1000
Vitznau,1068,-1000
Wauwil,1146,505
Weggis,1069,192
Werthenstein,1009,613
Wikon,1147,-1000
Willisau,1151,532
Wolhusen,1107,613
Zell (LU),1150,505
