GEMEINDE,BFS_NR,Klasse
Adligenswil,1051,"(3.55,3.7]"
Aesch (LU),1021,"(3.55,3.7]"
Alberswil,1121,"(3.7,3.85]"
Altbüron,1122,"(3.85,4.1]"
Altishofen,1123,"[2.535,3.45]"
Altwis,1022,"(3.85,4.1]"
Ballwil,1023,"[2.535,3.45]"
Beromünster,1081,"(3.45,3.55]"
Beromünster,1081,"(3.45,3.55]"
Buchrain,1052,"(3.55,3.7]"
Buttisholz,1083,"(3.55,3.7]"
Büron,1082,"(3.85,4.1]"
Dagmersellen,1125,"(3.45,3.55]"
Dierikon,1053,"(3.45,3.55]"
Doppleschwand,1001,"(3.85,4.1]"
Ebersecken,1126,"(3.85,4.1]"
Ebikon,1054,"(3.45,3.55]"
Egolzwil,1127,"(3.55,3.7]"
Eich,1084,"[2.535,3.45]"
Emmen,1024,"(3.7,3.85]"
Entlebuch,1002,"(3.7,3.85]"
Ermensee,1025,"(3.7,3.85]"
Eschenbach (LU),1026,"[2.535,3.45]"
Escholzmatt-Marbach,1010,"(3.55,3.7]"
Escholzmatt-Marbach,1010,"(3.55,3.7]"
Ettiswil,1128,"(3.7,3.85]"
Fischbach,1129,"(3.85,4.1]"
Flühli,1004,"(3.55,3.7]"
Gettnau,1130,"(3.85,4.1]"
Geuensee,1085,"(3.85,4.1]"
Gisikon,1055,"[2.535,3.45]"
Greppen,1056,"(3.45,3.55]"
Grossdietwil,1131,"(3.85,4.1]"
Grosswangen,1086,"(3.45,3.55]"
Hasle (LU),1005,"(3.85,4.1]"
Hergiswil bei Willisau,1132,"(3.7,3.85]"
Hildisrieden,1088,"[2.535,3.45]"
Hitzkirch,1030,"(3.55,3.7]"
Hochdorf,1031,"(3.55,3.7]"
Hohenrain,1032,"(3.7,3.85]"
Honau,1057,"(3.45,3.55]"
Horw,1058,"[2.535,3.45]"
Inwil,1033,"(3.45,3.55]"
Knutwil,1089,"(3.7,3.85]"
Kriens,1059,"(3.55,3.7]"
Luthern,1135,"(3.85,4.1]"
Luzern,1061,"[2.535,3.45]"
Malters,1062,"(3.55,3.7]"
Mauensee,1091,"(3.55,3.7]"
Meggen,1063,"[2.535,3.45]"
Meierskappel,1064,"(3.7,3.85]"
Menznau,1136,"(3.85,4.1]"
Nebikon,1137,"(3.45,3.55]"
Neuenkirch,1093,"(3.45,3.55]"
Nottwil,1094,"(3.45,3.55]"
Oberkirch,1095,"[2.535,3.45]"
Pfaffnau,1139,"(3.45,3.55]"
Rain,1037,"(3.45,3.55]"
Reiden,1140,"(3.85,4.1]"
Rickenbach (LU),1097,"(3.7,3.85]"
Roggliswil,1142,"(3.7,3.85]"
Romoos,1007,"(3.7,3.85]"
Root,1065,"[2.535,3.45]"
Rothenburg,1040,"(3.45,3.55]"
Ruswil,1098,"(3.55,3.7]"
Römerswil,1039,"(3.7,3.85]"
Schenkon,1099,"[2.535,3.45]"
Schlierbach,1100,"[2.535,3.45]"
Schongau,1041,"(3.7,3.85]"
Schwarzenberg,1066,"(3.7,3.85]"
Schötz,1143,"(3.7,3.85]"
Schüpfheim,1008,"(3.7,3.85]"
Sempach,1102,"(3.55,3.7]"
Sursee,1103,"[2.535,3.45]"
Triengen,1104,"[2.535,3.45]"
Udligenswil,1067,"(3.45,3.55]"
Ufhusen,1145,"(3.85,4.1]"
Vitznau,1068,"[2.535,3.45]"
Wauwil,1146,"(3.7,3.85]"
Weggis,1069,"[2.535,3.45]"
Werthenstein,1009,"(3.85,4.1]"
Wikon,1147,"(3.85,4.1]"
Willisau,1151,"(3.7,3.85]"
Wolhusen,1107,"(3.85,4.1]"
Zell (LU),1150,"(3.55,3.7]"
