GEMEINDE,BFS_NR,Klasse
Meggen,1063,2.535-3.45
Schenkon,1099,2.535-3.45
Vitznau,1068,2.535-3.45
Eich,1084,2.535-3.45
Weggis,1069,2.535-3.45
Eschenbach (LU),1026,2.535-3.45
Horw,1058,2.535-3.45
Ballwil,1023,2.535-3.45
Oberkirch,1095,2.535-3.45
Gisikon,1055,2.535-3.45
Hildisrieden,1088,2.535-3.45
Schlierbach,1100,2.535-3.45
Triengen,1104,2.535-3.45
Altishofen,1123,2.535-3.45
Root,1065,2.535-3.45
Luzern,1061,2.535-3.45
Sursee,1103,2.535-3.45
Ebikon,1054,3.45-3.55
Honau,1057,3.45-3.55
Inwil,1033,3.45-3.55
Nebikon,1137,3.45-3.55
Neuenkirch,1093,3.45-3.55
Rain,1037,3.45-3.55
Rothenburg,1040,3.45-3.55
Beromünster,1081,3.45-3.55
Beromünster,1081,3.45-3.55
Dagmersellen,1125,3.45-3.55
Dierikon,1053,3.45-3.55
Greppen,1056,3.45-3.55
Grosswangen,1086,3.45-3.55
Nottwil,1094,3.45-3.55
Pfaffnau,1139,3.45-3.55
Udligenswil,1067,3.45-3.55
Aesch (LU),1021,3.55-3.7
Buchrain,1052,3.55-3.7
Egolzwil,1127,3.55-3.7
Flühli,1004,3.55-3.7
Kriens,1059,3.55-3.7
Ruswil,1098,3.55-3.7
Sempach,1102,3.55-3.7
Zell (LU),1150,3.55-3.7
Escholzmatt-Marbach,1010,3.55-3.7
Escholzmatt-Marbach,1010,3.55-3.7
Hitzkirch,1030,3.55-3.7
Malters,1062,3.55-3.7
Adligenswil,1051,3.55-3.7
Buttisholz,1083,3.55-3.7
Hochdorf,1031,3.55-3.7
Mauensee,1091,3.55-3.7
Alberswil,1121,3.7-3.85
Ettiswil,1128,3.7-3.85
Knutwil,1089,3.7-3.85
Römerswil,1039,3.7-3.85
Schüpfheim,1008,3.7-3.85
Wauwil,1146,3.7-3.85
Entlebuch,1002,3.7-3.85
Ermensee,1025,3.7-3.85
Hergiswil bei Willisau,1132,3.7-3.85
Roggliswil,1142,3.7-3.85
Romoos,1007,3.7-3.85
Schongau,1041,3.7-3.85
Schwarzenberg,1066,3.7-3.85
Willisau,1151,3.7-3.85
Emmen,1024,3.7-3.85
Hohenrain,1032,3.7-3.85
Meierskappel,1064,3.7-3.85
Rickenbach (LU),1097,3.7-3.85
Schötz,1143,3.7-3.85
Altbüron,1122,3.85-4.1
Büron,1082,3.85-4.1
Geuensee,1085,3.85-4.1
Grossdietwil,1131,3.85-4.1
Menznau,1136,3.85-4.1
Reiden,1140,3.85-4.1
Altwis,1022,3.85-4.1
Doppleschwand,1001,3.85-4.1
Ebersecken,1126,3.85-4.1
Fischbach,1129,3.85-4.1
Gettnau,1130,3.85-4.1
Hasle (LU),1005,3.85-4.1
Luthern,1135,3.85-4.1
Ufhusen,1145,3.85-4.1
Werthenstein,1009,3.85-4.1
Wolhusen,1107,3.85-4.1
Wikon,1147,3.85-4.1
