GEMEINDE,BFS_NR
Adligenswil,1051
Aesch (LU),1021
Alberswil,1121
Altbüron,1122
Altishofen,1123
Altwis,1022
Ballwil,1023
Beromünster,1081
Buchrain,1052
Buttisholz,1083
Büron,1082
Dagmersellen,1125
Dierikon,1053
Doppleschwand,1001
Ebersecken,1126
Ebikon,1054
Egolzwil,1127
Eich,1084
Emmen,1024
Entlebuch,1002
Ermensee,1025
Eschenbach (LU),1026
Escholzmatt-Marbach,1010
Ettiswil,1128
Fischbach,1129
Flühli,1004
Gettnau,1130
Geuensee,1085
Gisikon,1055
Greppen,1056
Grossdietwil,1131
Grosswangen,1086
Hasle (LU),1005
Hergiswil bei Willisau,1132
Hildisrieden,1088
Hitzkirch,1030
Hochdorf,1031
Hohenrain,1032
Honau,1057
Horw,1058
Inwil,1033
Knutwil,1089
Kriens,1059
Luthern,1135
Luzern,1061
Malters,1062
Mauensee,1091
Meggen,1063
Meierskappel,1064
Menznau,1136
Nebikon,1137
Neuenkirch,1093
Nottwil,1094
Oberkirch,1095
Pfaffnau,1139
Rain,1037
Reiden,1140
Rickenbach (LU),1097
Roggliswil,1142
Romoos,1007
Root,1065
Rothenburg,1040
Ruswil,1098
Römerswil,1039
Schenkon,1099
Schlierbach,1100
Schongau,1041
Schwarzenberg,1066
Schötz,1143
Schüpfheim,1008
Sempach,1102
Sursee,1103
Triengen,1104
Udligenswil,1067
Ufhusen,1145
Vitznau,1068
Wauwil,1146
Weggis,1069
Werthenstein,1009
Wikon,1147
Willisau,1151
Wolhusen,1107
Zell (LU),1150
