"Name";"X";"Y"
"630127.482050002 230468.432";630127.482050002;230468.432
"630127.828049999 230460.096";630127.828049999;230460.096
"630130.541049998 230827.407";630130.541049998;230827.407
"630130.885049999 230822.634";630130.885049999;230822.634
"630131.876049999 230453.631";630131.876049999;230453.631
"630134.048050001 230479.912";630134.048050001;230479.912
"630134.287050001 230816.135";630134.287050001;230816.135
"630135.622049998 230839.996";630135.622049998;230839.996
"630136.91305 230445.508";630136.91305;230445.508
"630138.56005 230738.21";630138.56005;230738.21
"630139.580049999 230811.09";630139.580049999;230811.09
"630139.956050001 230739.3";630139.956050001;230739.3
"630140.642050002 230486.311";630140.642050002;230486.311
"630141.555050001 230440.351";630141.555050001;230440.351
"630141.558049999 230743.629";630141.558049999;230743.629
"630142.304049999 230751.183";630142.304049999;230751.183
"630143.930050001 230405.276";630143.930050001;230405.276
"630144.06605 230418.55";630144.06605;230418.55
"630144.319049999 230993.103";630144.319049999;230993.103
"630144.721050002 230853.46";630144.721050002;230853.46
"630144.876049999 230753.852";630144.876049999;230753.852
"630145.368050002 230489.65";630145.368050002;230489.65
"630145.469050001 230395.628";630145.469050001;230395.628
"630145.616050001 230810.77";630145.616050001;230810.77
"630145.887049999 230427.863";630145.887049999;230427.863
"630147.197050001 231009.123";630147.197050001;231009.123
"630149.206050001 230985.926";630149.206050001;230985.926
"630149.97405 230755.901";630149.97405;230755.901
"630150.00705 230390.723";630150.00705;230390.723
"630150.161049999 230726.854";630150.161049999;230726.854
"630150.489050001 230491.827";630150.489050001;230491.827
"630150.760049999 231018.462";630150.760049999;231018.462
"630151.944049999 230812.813";630151.944049999;230812.813
"630153.22205 230981.058";630153.22205;230981.058
"630154.761050001 230389.621";630154.761050001;230389.621
"630155.56005 230973.637";630155.56005;230973.637
"630156.958050001 230724.186";630156.958050001;230724.186
"630158.423050001 231030.845";630158.423050001;231030.845
"630158.534049999 230389.54";630158.534049999;230389.54
"630159.29005 230926.976";630159.29005;230926.976
"630159.954050001 230491.326";630159.954050001;230491.326
"630161.25505 230755.857";630161.25505;230755.857
"630161.353050001 230925.682";630161.353050001;230925.682
"630162.098049998 230814.591";630162.098049998;230814.591
"630162.239050001 230929.976";630162.239050001;230929.976
"630162.46305 230915.004";630162.46305;230915.004
"630163.17805 231036.368";630163.17805;231036.368
"630163.332049999 230966.963";630163.332049999;230966.963
"630164.24405 230949.047";630164.24405;230949.047
"630164.75905 230718.701";630164.75905;230718.701
"630165.451049998 230886.724";630165.451049998;230886.724
"630165.66705 230715.275";630165.66705;230715.275
"630166.26805 230908.392";630166.26805;230908.392
"630166.697050001 230898.987";630166.697050001;230898.987
"630166.97005 230488.542";630166.97005;230488.542
"630167.385049999 230960.119";630167.385049999;230960.119
"630168.10805 230488.391";630168.10805;230488.391
"630168.392050002 230754.05";630168.392050002;230754.05
"630170.20205 230814.45";630170.20205;230814.45
"630170.44805 230385.949";630170.44805;230385.949
"630172.36705 230709.424";630172.36705;230709.424
"630173.104049999 231043.848";630173.104049999;231043.848
"630174.75905 230486.204";630174.75905;230486.204
"630175.489050001 230383.764";630175.489050001;230383.764
"630176.354049999 230691.489";630176.354049999;230691.489
"630177.170049999 230687.375";630177.170049999;230687.375
"630178.248050001 231046.959";630178.248050001;231046.959
"630179.84505 231173.907";630179.84505;231173.907
"630180.432050001 231185.213";630180.432050001;231185.213
"630181.40605 231163.976";630181.40605;231163.976
"630181.489050001 231165.303";630181.489050001;231165.303
"630181.647050001 230666.245";630181.647050001;230666.245
"630182.379050002 230748.046";630182.379050002;230748.046
"630182.590050001 231191.372";630182.590050001;231191.372
"630182.68905 230625.938";630182.68905;230625.938
"630182.835050002 230810.566";630182.835050002;230810.566
"630182.86005 231156.825";630182.86005;231156.825
"630182.93905 230487.192";630182.93905;230487.192
"630182.966049999 230326.328";630182.966049999;230326.328
"630183.506050002 230652.831";630183.506050002;230652.831
"630183.600049999 230639.492";630183.600049999;230639.492
"630183.914050002 230556.826";630183.914050002;230556.826
"630184.205049999 231052.246";630184.205049999;231052.246
"630184.385049999 230563.07";630184.385049999;230563.07
"630184.74605 231150.735";630184.74605;231150.735
"630185.06405 230613.534";630185.06405;230613.534
"630185.344050001 230318.745";630185.344050001;230318.745
"630185.469050001 230330.573";630185.469050001;230330.573
"630186.20905 230601.341";630186.20905;230601.341
"630186.59705 231196.645";630186.59705;231196.645
"630186.813050002 230548.875";630186.813050002;230548.875
"630187.682050001 230373.835";630187.682050001;230373.835
"630188.33405 230315.994";630188.33405;230315.994
"630188.61005 230582.823";630188.61005;230582.823
"630188.977049999 230574.334";630188.977049999;230574.334
"630189.192049999 231144.933";630189.192049999;231144.933
"630190.29205 230334.159";630190.29205;230334.159
"630190.70205 231204.882";630190.70205;231204.882
"630190.74405 230370.831";630190.74405;230370.831
"630191.873050001 230491.674";630191.873050001;230491.674
"630192.080049999 231056.88";630192.080049999;231056.88
"630192.762049999 230806.783";630192.762049999;230806.783
"630193.151050001 230532.393";630193.151050001;230532.393
"630193.46105 230747.308";630193.46105;230747.308
"630194.411049999 230351.435";630194.411049999;230351.435
"630194.942049999 230363.441";630194.942049999;230363.441
"630195.545049999 231136.592";630195.545049999;231136.592
"630195.763050001 230522.302";630195.763050001;230522.302
"630196.308049999 231354.274";630196.308049999;231354.274
"630198.111049999 230498.971";630198.111049999;230498.971
"630198.49405 230800.921";630198.49405;230800.921
"630198.740049999 231061.727";630198.740049999;231061.727
"630198.80305 231215.6";630198.80305;231215.6
"630199.386050001 231362.33";630199.386050001;231362.33
"630199.475049999 231342.85";630199.475049999;231342.85
"630199.875050001 231131.9";630199.875050001;231131.9
"630199.888050001 230507.877";630199.888050001;230507.877
"630200.18705 231395.487";630200.18705;231395.487
"630200.76605 231371.979";630200.76605;231371.979
"630201.118050002 231405.189";630201.118050002;231405.189
"630202.104049999 230751.559";630202.104049999;230751.559
"630202.120049998 231398.653";630202.120049998;231398.653
"630202.490049999 230309.517";630202.490049999;230309.517
"630203.644049998 231335.857";630203.644049998;231335.857
"630203.67805 231410.365";630203.67805;231410.365
"630203.821049999 230790.939";630203.821049999;230790.939
"630205.107050002 231219.257";630205.107050002;231219.257
"630206.058049999 231417.267";630206.058049999;231417.267
"630206.14305 231064.615";630206.14305;231064.615
"630207.604049999 230781.755";630207.604049999;230781.755
"630208.150049999 230758.562";630208.150049999;230758.562
"630209.230050001 231418.888";630209.230050001;231418.888
"630210.114050001 231222.917";630210.114050001;231222.917
"630210.761050001 230770.975";630210.761050001;230770.975
"630210.833050001 231119.18";630210.833050001;231119.18
"630211.080049999 230768.111";630211.080049999;230768.111
"630211.844050001 231225.454";630211.844050001;231225.454
"630213.797049999 231069.555";630213.797049999;231069.555
"630214.533050001 231324.892";630214.533050001;231324.892
"630215.986049999 231420.275";630215.986049999;231420.275
"630216.611049999 231110.103";630216.611049999;231110.103
"630217.401050001 230300.28";630217.401050001;230300.28
"630218.818050001 231230.573";630218.818050001;231230.573
"630220.767050002 231104.859";630220.767050002;231104.859
"630220.89505 231321.228";630220.89505;231321.228
"630222.501049999 231421.612";630222.501049999;231421.612
"630222.93705 231092.876";630222.93705;231092.876
"630223.05305 230293.387";630223.05305;230293.387
"630227.797049999 230289.714";630227.797049999;230289.714
"630228.582049999 231486.257";630228.582049999;231486.257
"630228.668049999 231418.331";630228.668049999;231418.331
"630229.679049999 231241.954";630229.679049999;231241.954
"630230.036049999 231495.914";630230.036049999;231495.914
"630231.464049999 231245.032";630231.464049999;231245.032
"630232.887049999 231505.167";630232.887049999;231505.167
"630232.925050002 231412.959";630232.925050002;231412.959
"630235.681049999 231508.787";630235.681049999;231508.787
"630236.69805 231249.953";630236.69805;231249.953
"630239.66505 231412.262";630239.66505;231412.262
"630239.723049998 231514.025";630239.723049998;231514.025
"630242.248050001 231257.132";630242.248050001;231257.132
"630245.730050001 231260.769";630245.730050001;231260.769
"630245.73305 231453.123";630245.73305;231453.123
"630247.753049999 231414.681";630247.753049999;231414.681
"630247.999049999 230295.954";630247.999049999;230295.954
"630248.013050001 231308.319";630248.013050001;231308.319
"630248.05105 231450.256";630248.05105;231450.256
"630249.06605 231306.248";630249.06605;231306.248
"630249.150049999 231447.134";630249.150049999;231447.134
"630250.607050002 231442.998";630250.607050002;231442.998
"630251.694049999 231415.86";630251.694049999;231415.86
"630253.238049999 231437.785";630253.238049999;231437.785
